Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
72,5130083116,trentyncole,0,154,1B Alec Burleson 2B Josh Smith 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Ezequiel Duran P Chris Sale P Reid Detmers SS Jorge Mateo,,Danny Jansen,C,4.92%,2
72,5130132804,Emrakul (106/150),0,154,1B Alec Burleson 2B Gleyber Torres 3B Colt Keith C Ivan Herrera OF Jordan Walker OF Riley Greene OF Wenceel Perez P Chris Sale P Reid Detmers SS Kevin McGonigle,,Alejandro Osuna,OF,4.91%,0
77,5129870999,mrgoodseats (2/150),0,153.85,1B Jake Burger 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Mike Yastrzemski OF Wenceel Perez P Chris Sale P Roki Sasaki SS Corey Seager,,Maikel Garcia,3B,4.87%,9
78,5129512292,AaronCosta (58/75),0,153.65,1B Matt Olson 2B Marcus Semien 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Mike Yastrzemski OF Dominic Canzone P Chris Sale P Sean Burke SS Ronny Mauricio,,Munetaka Murakami,1B,4.75%,0
78,5130106062,Freddy11 (5/20),0,153.65,1B Matt Olson 2B Alex Freeland 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Alejandro Osuna P Emerson Hancock P Sean Burke SS Corey Seager,,Vinnie Pasquantino,1B,4.66%,3
80,5129665515,mbhabes (22/100),0,153.3,1B Mark Vientos 2B Alex Freeland 3B Colt Keith C Drake Baldwin OF Ronald Acuna Jr. OF Teoscar Hernandez OF Mike Yastrzemski P Chris Sale P Emerson Hancock SS Jorge Mateo,,Ezequiel Duran,2B,4.64%,5
81,5129711357,jb101086 (30/30),0,152.95,1B Matt Olson 2B Ozzie Albies 3B Jace Jung C Drake Baldwin OF Michael Harris II OF Austin Slater OF Wenceel Perez P Nolan McLean P Chris Sale SS Jorge Mateo,,Kyle Karros,3B,4.62%,7
82,5129661976,drunkonpappy (86/150),0,152.65,1B Josh Naylor 2B Marcus Semien 3B Austin Riley C Ivan Herrera OF Ronald Acuna Jr. OF Jordan Walker OF Julio Rodriguez P Chris Sale P Sean Burke SS J.P. Crawford,,Colson Montgomery,SS,4.61%,2
82,5129800435,customsjackie,0,152.65,1B Josh Naylor 2B Gleyber Torres 3B Austin Riley C Dillon Dingler OF Jackson Merrill OF Julio Rodriguez OF Jorge Soler P Chris Sale P Sean Burke SS Colson Montgomery,,Victor Scott II,OF,4.58%,2
82,5129966976,nerdytenor (49/150),0,152.65,1B Matt Olson 2B Ozzie Albies 3B Colt Keith C Edgar Quero OF Ronald Acuna Jr. OF Riley Greene OF Wenceel Perez P Chris Sale P Sean Burke SS Kevin McGonigle,,Gavin Sheets,1B,4.50%,2
85,5129701490,bkreider (135/150),0,152.3,1B Matt Olson 2B Cole Young 3B Leo Rivas C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Ezequiel Duran P Chris Sale P Emerson Hancock SS Jorge Mateo,,Carter Jensen,C,4.49%,0
85,5129711470,Bsgolfer7 (25/103),0,152.3,1B Josh Naylor 2B Jake Cronenworth 3B Austin Riley C Drake Baldwin OF Julio Rodriguez OF Randy Arozarena OF Dominic Canzone P Chris Sale P Emerson Hancock SS J.P. Crawford,,Teoscar Hernandez,OF,4.44%,10
87,5129582005,OneDropKing (42/150),0,152,1B Matt Olson 2B Gleyber Torres 3B Jace Jung C Drake Baldwin OF Riley Greene OF Mike Yastrzemski OF Wenceel Perez P Chris Sale P Reid Detmers SS Kevin McGonigle,,Zach Neto,SS,4.26%,2
87,5129673604,ShaidyAdvice (123/150),0,152,1B Nolan Schanuel 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Kerry Carpenter OF Wenceel Perez P Chris Sale P Reid Detmers SS Mauricio Dubon,,Dominic Canzone,OF,4.17%,0
