P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42449041,42449050,42449139,42449053,42449321,42449116,42449087,42449062,42449110,42449102,98.65,49900,10.17,183.90,0.0000,0.0000
42449050,42449041,42449139,42449057,42449213,42449116,42449072,42449110,42449065,42449192,99.40,49400,9.79,181.90,0.0000,0.0000
42449041,42449034,42449146,42449084,42449175,42449116,42449248,42449215,42449065,42449058,97.18,49600,10.40,183.36,0.0000,0.0000
42449041,42449050,42449095,42449057,42449086,42449116,42449150,42449082,42449079,42449203,102.03,50000,10.43,182.90,0.0000,0.0000
42449041,42449050,42449125,42449084,42449180,42449074,42449157,42449067,42449091,42449140,97.23,48700,5.12,179.90,0.0000,0.0000
42449041,42449050,42449139,42449057,42449175,42449152,42449072,42449215,42449065,42449149,98.22,48500,10.98,183.90,0.0000,0.0000
42449041,42449050,42449139,42449057,42449175,42449116,42449106,42449110,42449066,42449203,98.40,48700,9.75,178.90,0.0000,0.0000
42449041,42449050,42449189,42449068,42449175,42449116,42449248,42449066,42449065,42449110,98.50,48400,8.56,178.90,0.0000,0.0000
42449041,42449050,42449095,42449057,42449239,42449116,42449150,42449215,42449065,42449110,100.31,48200,10.00,182.90,0.0000,0.0000
42449041,42449050,42449139,42449057,42449153,42449116,42449119,42449108,42449215,42449110,99.26,47500,10.16,180.90,0.0000,0.0000
42449041,42449050,42449146,42449057,42449175,42449134,42449150,42449215,42449065,42449144,98.01,47200,10.37,181.90,0.0000,0.0000
42449043,42449041,42449173,42449068,42449239,42449100,42449106,42449145,42449155,42449071,96.93,48300,6.38,180.10,0.0000,0.0000
42449041,42449050,42449125,42449057,42449175,42449116,42449072,42449108,42449134,42449110,98.87,49200,10.03,182.90,0.0000,0.0000
42449041,42449050,42449125,42449057,42449175,42449116,42449157,42449110,42449065,42449102,97.56,49400,8.65,178.90,0.0000,0.0000
42449050,42449041,42449184,42449057,42449086,42449134,42449248,42449110,42449065,42449067,101.29,50000,13.14,186.90,0.0000,0.0000
42449041,42449034,42449139,42449057,42449252,42449116,42449289,42449058,42449110,42449215,97.66,48800,9.25,184.36,0.0000,0.0000
42449041,42449050,42449125,42449057,42449175,42449116,42449289,42449079,42449110,42449065,97.30,48700,8.52,179.90,0.0000,0.0000
42449041,42449050,42449184,42449057,42449175,42449134,42449289,42449070,42449079,42449110,97.86,47600,9.62,180.90,0.0000,0.0000
42449041,42449042,42449139,42449057,42449252,42449116,42449166,42449065,42449215,42449145,97.23,48000,9.73,179.95,0.0000,0.0000
42449041,42449039,42449189,42449147,42449153,42449105,42449096,42449082,42449252,42449097,97.26,47200,6.98,177.45,0.0000,0.0000
42449041,42449034,42449210,42449073,42449078,42449126,42449096,42449222,42449163,42449082,102.03,49100,10.91,189.36,0.0000,0.0000
42449041,42449034,42449189,42449147,42449206,42449105,42449096,42449107,42449082,42449108,103.59,48700,11.09,191.36,0.0000,0.0000
42449050,42449041,42449355,42449057,42449175,42449116,42449166,42449065,42449067,42449134,98.13,47900,10.78,178.90,0.0000,0.0000
42449041,42449050,42449139,42449057,42449175,42449134,42449166,42449305,42449110,42449064,98.07,47000,9.80,178.90,0.0000,0.0000
42449041,42449050,42449210,42449147,42449321,42449105,42449096,42449065,42449071,42449082,105.55,47500,13.19,186.90,0.0000,0.0000
42449041,42449050,42449189,42449073,42449078,42449105,42449096,42449222,42449058,42449082,110.02,49800,16.24,195.90,0.0000,0.0000
